Feature,Introduction to GitHub,Communicate using Markdown,GitHub Pages,Review Pull Requests,Resolve Merge Conflicts,Release-based workflow,Connect the dots,Code with GitHub Codespaces,Code with Copilot,Hello GitHub Actions,Test with Actions,Publish to GitHub Packages,Deploy to Azure,Write JavaScript Actions,Reusable workflows,Secure your repository supply chain,Introduction to CodeQL,Remove commit history,Introduction to secret scanning

H: Git,,,,,,,,,,,,,,,,,,,
initialize,,,,,,,,,,,,,,,,,,,
clone,,,,,,,,,,,,,,,,,,,
commit,,,,,,,,x,x,,,,,,,,,,
push,,,,,,,,x,x,,,,,,,,,x,
pull,,,,,,,,,x,,,,,,,,,x,
find,,,,,,,,,,,,,,,,,,x,
branches,,,,,,,,,,,,,,,,,,,
.gitignore,,,,,,,,,,,,,,,,,,,
Git Hooks,,,,,,,,,,,,,,,,,,,
remotes,,,,,,,,,,,,,,,,,,,
tags,,,,,,,,,,,,,,,,,,,
sha,,,,,,,m,,,,,,,,,,,x,
blame,,,,,,,m,,,,,,,,,,,,

H: Repository (on GitHub),,,,,,,,,,,,,,,,,,,
Create repo,,,,,,,,,,,,,,,,,,,
Create branch,x,,,,,,,,,,,,x,,,,x,,
File editor,,,,,,,,,,x,x,x,x,,x,,,,
Navigate branches,,,x,,,,,,,x,,,x,,,,,,
Committing,x,,,,,,,,,,,,,,x,,,,
Collaborators,,,,,,,,,,,,,,,,,,,
Releases,,,,,,x,,,,,,,,,,,,,
Tags,,,,,,x,,,,,,,,,,,,,
Copilot Summarize,,,,,,,,,,,,,,,,,,,
branch protection,,,,,,m,,,,,x,,,,,,,,
rulesets,,,,,,,,,,,,,,,,,,,
Pages,,x,x,,,,,,,,,,,,,,,,
blame,,,,,,,x,,,,,,,,,,,,

H: Pull Request,,,,,,,,,,,,,,,,,,,
Create pull request,x,,x,x,,x,x,,,x,x,x,x,,,x,x,,
Merge pull request,x,x,x,x,,x,x,,,x,x,x,x,,,x,x,,
Assignees,,,,,,,x,,,,,,,,,,,,
Add review/comments,,,,x,,,x,,,,,,,,,,,,
View Diff,,,,x,,,x,,,,,,,,,,,,
Suggest changes,,,,x,,,,,,,,,,,,,,,
Merge conflict,,,,,x,,,,,,,,,,,,,,
Copilot PR Description,,,,,,,,,,,,,,,,,,,
Link Issues and Projects,,,,,,,x,,,,,,,,,,,,
PR Templates,,,,,,m,,,,,,,,,,,,,
Update from base branch,,,,,,,,,,,,,,,,,,,

H: Actions,,,,,,,,,,,,,,,,,,,
Basic Syntax,,,,,,,,,,x,x,x,x,x,x,,,,
Permissions,,,,,,,,,,,,,x,,,,,,
Logs,,,,,,,,,,,x,,,,x,,,,
Variables and Secrets,,,,,,,,,,m,,,x,,,,,,
Matrix,,,,,,,,,,,,,,,x,,,,
Multiple Jobs,,,,,,,,,,,,,x,,,,,,
Marketplace,,,,,,,,,,m,,,m,,,,,,
Javascript Action,,,,,,,,,,,,,,x,,,,,
Docker Action,,,,,,,,,,,,,,,,,,,
Reusable workflows,,,,,,,,,,,,,,,x,,,,
Workflow summaries,,,,,,,,,,,,,,,,,,,
Act,,,,,,,,,,,,,,,,,,,
VS Code extension,,,,,,,,,,,,,,,,,,,
Usage quota,,,,,,,,,,,,,,,,,,,

H: Packages,,,,,,,,,,,,,,,,,,,
login,,,,,,,,,,,,x,,,,,,,
publish,,,,,,,,,,,,x,,,,,,,
pull,,,,,,,,,,,,x,,,,,,,
Settings and Permissions,,,,,,,,,,,,,,,,,,,

H: Issues / Projects,,,,,,,,,,,,,,,,,,,
Create an issue,,,,,,,,,,,,,,,,,x,,
Create a project,,,,,,,,,,,,,,,,,,,
Add a comment,,,,,,,,,,,,,,,,,,,
Issue Templates,,,,,,,,,,,,,,,,,,,
Linking issues/projects,,,,,,,x,,,,,,,,,,,,

H: Codespaces,,,,,,,,,,,,,,,,,,,
Setup basic config,,,,,,,,x,x,,,,,,,,,,
Start codespace,,,,,,,,x,x,,,,,,,,,,
VS customization,,,,,,,,x,x,,,,,,,,,,
Features,,,,,,,,,,,,,,,,,,,
dotfiles,,,,,,,,x,,,,,,,,,,,
Lifecycle commands,,,,,,,,x,,,,,,,,,,,
Prebuilds,,,,,,,,,,,,,,,,,,,
Usage quota,,,,,,,,,,,,,,,,,,,

H: Copilot,,,,,,,,,,,,,,,,,,,
Inline suggestions,,,,,,,,,,,,,,,,,,,
Inline chat,,,,,,,,,,,,,,,,,,,
Chat box,,,,,,,,,,,,,,,,,,,
Edits,,,,,,,,,,,,,,,,,,,
Vision,,,,,,,,,,,,,,,,,,,
Spark,,,,,,,,,,,,,,,,,,,
Workspace,,,,,,,,,,,,,,,,,,,

H: GitHub CLI,,,,,,,,,,,,,,,,,,,
Install,,,,,,,,,,,,,,,,,,,
clone,,,,,,,,,,,,,,,,,,,
